iter	Passed	Remaining
668	99442	49201
669	99536	49025
670	99627	48848
671	99760	48692
672	99901	48540
673	100040	48387
674	100159	48225
675	100285	48065
676	100488	47943
677	100715	47832
678	100822	47664
679	100915	47489
680	101084	47350
681	101256	47213
682	101418	47071
683	101559	46919
684	101743	46787
685	101848	46618
686	101977	46461
687	102049	46278
688	102156	46111
689	102310	45965
690	102493	45832
691	102613	45672
692	102765	45525
693	102894	45368
694	103093	45242
695	103262	45103
696	103322	44916
697	103447	44758
698	103602	44612
699	103756	44467
700	103888	44312
701	104046	44167
702	104234	44036
703	104380	43887
704	104502	43727
705	104640	43575
706	104785	43426
707	104887	43258
708	105006	43098
709	105195	42967
710	105256	42783
711	105410	42638
712	105548	42485
713	105707	42342
714	105835	42186
715	105978	42036
716	106135	41891
717	106287	41745
718	106331	41556
719	106455	41399
720	106587	41245
721	106764	41108
722	106974	40984
723	107115	40834
724	107264	40686
725	107427	40544
726	107588	40401
727	107739	40254
728	107784	40067
729	107920	39915
730	108058	39764
731	108215	39619
732	108404	39487
733	108562	39342
734	108722	39199
735	108818	39032
736	108941	38875
737	109156	38752
738	109340	38617
739	109491	38470
740	109646	38324
741	109678	38136
742	109816	37984
743	109957	37834
744	110134	37696
745	110293	37553
746	110428	37400
747	110559	37247
748	110674	37088
749	110830	36943
750	110954	36787
751	111083	36633
752	111295	36507
753	111440	36358
754	111601	36215
755	111753	36068
756	111828	35897
757	111956	35743
758	112102	35595
759	112223	35439
760	112411	35303
761	112595	35167
762	112710	35009
763	112811	34847
764	112989	34709
765	113126	34558
766	113254	34404
767	113424	34263
768	113561	34112
769	113663	33951
770	113714	33775
771	113855	33625
772	114011	33480
773	114185	33341
774	114313	33187
775	114467	33042
776	114623	32896
777	114779	32751
778	114946	32609
779	115135	32474
780	115274	32324
781	115408	32172
782	115566	32028
783	115757	31892
784	115900	31743
785	116101	31610
786	116189	31446
787	116319	31294
788	116480	31149
789	116605	30996
790	116815	30865
791	116956	30715
792	117126	30574
793	117218	30411
794	117400	30273
795	117559	30128
796	117746	29990
797	117887	29841
798	118046	29696
799	118224	29556
800	118382	29410
801	118516	29259
802	118653	29109
803	118805	28962
804	118927	28808
805	119148	28678
806	119363	28546
807	119529	28403
808	119691	28258
809	119824	28106
810	119974	27959
811	120099	27806
812	120224	27653
813	120363	27503
814	120496	27351
815	120699	27216
816	120851	27069
817	120961	26913
818	121038	26749
819	121144	26592
820	121316	26450
821	121470	26303
822	121623	26157
823	121761	26007
824	121868	25850
825	122003	25700
826	122113	25544
827	122299	25405
828	122422	25252
829	122574	25105
830	122692	24951
831	122829	24802
832	123008	24660
833	123141	24510
834	123312	24367
835	123483	24224
836	123651	24080
837	123820	23936
838	123992	23793
839	124152	23648
840	124278	23496
841	124450	23353
842	124616	23208
843	124754	23058
844	124906	22911
